name,id,lat,lon,capacity
"Chadwell Street, Angel",254,51.53051587,-0.106408455,18
"Clifton Road, Maida Vale",255,51.52557531,-0.179592915,22
"Houghton Street, Strand",256,51.51362054,-0.116764211,15
"Westminster University, Marylebone",257,51.52248185,-0.154907218,16
"Kensington Gore, Knightsbridge",258,51.50143293,-0.178656971,23
"Broadwick Street, Soho",260,51.5136846,-0.135580879,18
"Princes Square, Bayswater",261,51.5134891,-0.191351186,15
"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904,35
"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083,21
"Tysoe Street, Clerkenwell",264,51.52644342,-0.109256828,20
"Southwick Street, Paddington",265,51.51595344,-0.169249375,17
"Queen's Gate (North), Kensington",266,51.50102668,-0.180246101,41
"Regency Street, Westminster",267,51.49206037,-0.132224622,22
"Belgrave Road, Victoria",268,51.49320445,-0.144132875,29
"Empire Square, The Borough",269,51.50082346,-0.089740764,46
"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418,31
"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395,32
"Baylis Road, Waterloo",272,51.50144456,-0.110699309,22
"Belvedere Road 1, South Bank",273,51.50613324,-0.114686385,38
"Warwick Road, Olympia",274,51.49671237,-0.20528437,36
"Barbican Centre, Barbican",275,51.52004497,-0.092176447,19
"Lower Thames Street, Monument",276,51.50930161,-0.084985356,24
"Kensington Church Street, Kensington",277,51.50315739,-0.191496313,17
"Tooley Street, Bermondsey",278,51.5034938,-0.07962099,17
"North Wharf Road, Paddington",279,51.51862243,-0.176645823,9
"Royal Avenue 2, Chelsea",280,51.490083,-0.162418,10
"Smith Square, Westminster",281,51.49580589,-0.127575233,18
"Royal London Hospital, Whitechapel",282,51.51906446,-0.059642081,42
"Kingsway, Covent Garden",283,51.51440928,-0.118478757,16
"Lambeth North Station, Waterloo",284,51.49914063,-0.112031483,20
"St. John's Wood Road, St. John's Wood",286,51.5272947,-0.174653609,35
"Bedford Way, Bloomsbury",287,51.52367314,-0.128377673,23
"Elizabeth Bridge, Victoria",288,51.49236962,-0.147478734,34
"South Audley Street, Mayfair",289,51.50923022,-0.151296092,15
"Winsland Street, Paddington",290,51.51678023,-0.175488803,15
"Claverton Street, Pimlico",291,51.48483991,-0.138089062,32
"Montpelier Street, Knightsbridge",292,51.49888404,-0.165471605,16
"Kensington Olympia Station, Olympia",293,51.49815779,-0.209494128,25
"St. George's Square, Pimlico",294,51.488226,-0.135635511,16
"Swan Street, The Borough",295,51.50029631,-0.092762704,27
"Knaresborough Place, Earl's Court",296,51.49363156,-0.190603326,18
"Geraldine Street, Elephant & Castle",297,51.49612799,-0.106000855,17
"Curlew Street, Shad Thames",298,51.50227992,-0.074189225,21
"Vincent Square, Westminster",299,51.49398524,-0.136928582,19
"Serpentine Car Park, Hyde Park",300,51.50501351,-0.172729559,16
"Marylebone Lane, Marylebone",301,51.51475963,-0.148105415,24
"Putney Pier, Wandsworth",302,51.466907,-0.216573,28
"Albert Gate, Hyde Park",303,51.50295379,-0.158456089,28
"Kennington Lane Tesco, Vauxhall",305,51.48677988,-0.115853961,15
"Rathbone Street, Fitzrovia ",306,51.51816295,-0.135025698,16
"Black Lion Gate, Kensington Gardens",307,51.50990837,-0.187842717,24
"Long Lane , Bermondsey",308,51.49907558,-0.085666316,20
"Embankment (Savoy), Strand",309,51.50963123,-0.119047563,41
"Black Prince Road, Vauxhall",310,51.4908679,-0.116911864,19
"Grove End Road, St. John's Wood",312,51.53088935,-0.176770502,20
"Wells Street, Fitzrovia ",313,51.51734403,-0.138072691,38
"Tyers Gate, Bermondsey",314,51.50088934,-0.083159352,36
"The Tennis Courts, The Regent's Park",315,51.52536703,-0.153463612,16
"Dickens Square, Borough",317,51.49679128,-0.093913472,32
"Sackville Street, Mayfair",318,51.51004801,-0.138846453,18
"Baldwin Street, St. Luke's",319,51.52702563,-0.088542771,21
"Queen Mother Sports Centre, Victoria",320,51.49357351,-0.139956043,26
"Bermondsey Street, Bermondsey",321,51.49785559,-0.081608045,24
"Palissy Street, Shoreditch",322,51.526293,-0.073955,26
"Clifton Street, Shoreditch",323,51.523196,-0.083067,24
"Ontario Street, Elephant & Castle",324,51.49652013,-0.101384068,15
"St. Martin's Street, West End",325,51.50908747,-0.129697889,18
"Graham Street, Angel",326,51.53266186,-0.099981142,26
"New North Road 1, Hoxton",327,51.53095,-0.085603,22
"New North Road 2, Hoxton",328,51.53114,-0.086016,22
"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428,24
"Eastbourne Mews, Paddington",330,51.51641749,-0.179135079,34
"Bunhill Row, Moorgate",331,51.52085887,-0.089887855,30
"Nevern Place, Earl's Court",332,51.49334336,-0.194757949,20
"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092,37
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851,10
"Tavistock Street, Covent Garden",335,51.51196803,-0.120718759,33
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533,18
"Risinghill Street, Angel",339,51.5333196,-0.111781191,25
"Bank of England Museum, Bank",340,51.51444134,-0.087587447,16
"Craven Street, Strand",341,51.50810309,-0.12602103,23
"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444,36
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611,17
"Flood Street, Chelsea",345,51.48802358,-0.166878535,33
"Lower Marsh, Waterloo",347,51.50013942,-0.113936001,17
"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272,17
"St. George Street, Mayfair",349,51.51196,-0.142783033,18
"Queen's Gate, Kensington Gardens",350,51.5017154373867,-0.1798541843891,21
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122,28
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625,19
"Greycoat Street , Westminster",353,51.49459148,-0.134234258,17
"Northumberland Avenue, Strand",354,51.506767,-0.123702,37
"Oval Way, Vauxhall",355,51.486575,-0.117286,21
"South Kensington Station, South Kensington",356,51.494412,-0.173881,15
"Howland Street, Fitzrovia",357,51.520994,-0.139016,30
"High Holborn , Covent Garden",358,51.516226,-0.124826,20
"Butler Place, Westminster",359,51.49782999,-0.135440826,18
"Howick Place, Westminster",360,51.49675303,-0.138733562,27
"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629,55
"Royal College Street, Camden Town",362,51.536264,-0.133952,57
"Lord's, St. John's Wood",363,51.5291212008901,-0.171185284853,24
"Alfred Place, Bloomsbury",364,51.519656,-0.132339,41
"City Road, Angel",365,51.530344,-0.100168,47
"Millennium Hotel, Mayfair",366,51.5109192966489,-0.1511263847351,27
"Harrowby Street, Marylebone",367,51.5173721,-0.1642075,16
"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065,25
"Paddington Green, Paddington",370,51.520205,-0.174593,20
"King Edward Walk, Waterloo",371,51.49775,-0.10988,22
"Sardinia Street, Holborn",372,51.515208,-0.117863,24
"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994,18
"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436,36
"Kensington Town Hall, Kensington",375,51.50194596,-0.194392952,18
"Millbank Tower, Pimlico",376,51.49188409,-0.125674815,24
"Waterloo Bridge, South Bank",377,51.50535447,-0.113656543,15
"Natural History Museum, South Kensington",378,51.49559291,-0.179077626,42
"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199,21
"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888,21
"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731,14
"Farm Street, Mayfair",382,51.50935171,-0.14744969,15
"Frith Street, Soho",383,51.51310333,-0.13121385,18
"Marloes Road, Kensington",384,51.496481,-0.192404,15
"Moor Street, Soho",386,51.51352755,-0.130110822,16
"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.121394101,30
"Southampton Street, Strand",388,51.51070161,-0.121723604,14
"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901,18
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856,41
"Clifford Street, Mayfair",391,51.51066202,-0.142345694,27
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476,21
"Snow Hill, Farringdon",393,51.51733427,-0.103604248,15
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268,18
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919,15
"Shouldham Street, Marylebone",396,51.51809,-0.163609,16
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,16
"Holland Park, Kensington",398,51.502319,-0.200742,30
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,24
"George Street, Marylebone",400,51.517703,-0.154106,26
"Columbia Road, Shoreditch",401,51.528187,-0.075375,24
"Penfold Street, Marylebone",402,51.52289229,-0.171681991,15
"George Place Mews, Marylebone",403,51.51689296,-0.158249929,16
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,13
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,15
"Paddington Green Police Station, Paddington",408,51.51994326,-0.170704337,40
"Strata, Elephant & Castle",409,51.493146,-0.099828,41
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,64
"Walworth Road, Elephant & Castle",411,51.49337264,-0.09968067,33
"Cleaver Street, Kennington",412,51.488105,-0.110121,17
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004,15
"Southwark Station 1, Southwark",420,51.504043,-0.105312,37
"Southwark Station 2, Southwark",421,51.504044,-0.104778,45
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398,31
"Ebury Bridge, Pimlico",424,51.490491,-0.149186,29
"Harrington Square 2, Camden Town",425,51.533379,-0.139159,38
"Vincent Street, Pimlico",426,51.493072,-0.129925,17
"Cheapside, Bank",427,51.51397065,-0.09294031,43
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554,20
"South Parade, Chelsea",430,51.48902,-0.17524,18
"Crinan Street, King's Cross",431,51.534474,-0.122203,20
"Exhibition Road Museums, South Kensington",432,51.496957,-0.173894,22
"Wren Street, Holborn",433,51.524564,-0.116279,33
"Kennington Station, Kennington",435,51.488852,-0.105593,23
"Red Lion Street, Holborn",436,51.51824,-0.11655,36
"Vauxhall Walk, Vauxhall",437,51.488124,-0.120903,27
"Killick Street, King's Cross",439,51.5338,-0.118677,22
"Kennington Oval, Oval",440,51.483145,-0.113134,33
"Sail Street, Vauxhall",441,51.495656,-0.114605,24
"Walmer Road, Avondale",442,51.510101,-0.211358,24
"Philpot Street, Whitechapel",443,51.515256,-0.058641,30
"Bethnal Green Garden, Bethnal Green",444,51.52568,-0.055312,24
"Cheshire Street, Bethnal Green",445,51.52388,-0.065076,28
"York Hall, Bethnal Green",446,51.528936,-0.055894,27
"Jubilee Crescent, Cubitt Town",447,51.493381,-0.007542,54
"Fisherman's Walk West, Canary Wharf",448,51.50623,-0.02296,36
"Shadwell Station, Shadwell",449,51.511088,-0.057159,35
"Jubilee Street, Stepney",450,51.515975,-0.053177,28
"Hermitage Court, Wapping",451,51.504719,-0.063531,16
"St. Katharine's Way, Tower",452,51.505697,-0.070542,24
"Garnet Street, Shadwell",453,51.508447,-0.055167,24
"Napier Avenue, Millwall",454,51.487679,-0.021582,20
"East Ferry Road, Cubitt Town",455,51.49447,-0.014409,17
"Parkway, Camden Town",456,51.538071,-0.144664,33
"Castlehaven Road, Camden Town",457,51.542138,-0.145393,29
"Wapping Lane, Wapping",458,51.504749,-0.057544,28
"Gunmakers Lane, Old Ford",459,51.535179,-0.03338,17
"Burdett Road, Mile End",460,51.516196,-0.029138,33
"Aston Street, Stepney",461,51.516,-0.038775,26
"Bonny Street, Camden Town",462,51.541603,-0.138853,45
"Thurtle Road, Haggerston",463,51.534776,-0.071881,22
"St. Mary & St. Michael Church, Stepney",464,51.51417,-0.052099,25
"Pitfield Street North,Hoxton",465,51.53558,-0.08249,28
"Whiston Road, Haggerston",466,51.534464,-0.076341,21
"Southern Grove, Bow",467,51.523538,-0.030556,17
"Cantrell Road, Bow",468,51.521564,-0.022694,24
"Lindfield Street, Poplar",469,51.513757,-0.020467,44
"Mostyn Grove, Bow",470,51.530535,-0.025492,46
"Hewison Street, Old Ford",471,51.533283,-0.028155,19
"Malmesbury Road, Bow",472,51.529452,-0.027616,21
"Millharbour, Millwall",473,51.496137,-0.019355,19
